source_file,run_label,scenario,condition,seed,num_agents,num_rounds,round_number,si_population,sfi_population,si_share,sfi_share,si_total_contribution,sfi_total_contribution,si_avg_contribution,sfi_avg_contribution,shock_occurred,shock_severity,gross_damage_total,net_damage_total,ldf_pool_start,ldf_contributions_total,ldf_payouts_total,ldf_pool_end
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,1,1,6,0.14285714285714285,0.8571428571428571,1.0,56.0,1.0,9.333333333333334,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,2,1,6,0.14285714285714285,0.8571428571428571,20.0,37.0,20.0,6.166666666666667,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,3,1,6,0.14285714285714285,0.8571428571428571,10.0,57.0,10.0,9.5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,4,2,5,0.2857142857142857,0.7142857142857143,15.0,32.0,7.5,6.4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,5,2,5,0.2857142857142857,0.7142857142857143,15.0,47.0,7.5,9.4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,6,2,5,0.2857142857142857,0.7142857142857143,25.0,32.0,12.5,6.4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,7,1,6,0.14285714285714285,0.8571428571428571,10.0,62.0,10.0,10.333333333333334,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,8,1,6,0.14285714285714285,0.8571428571428571,20.0,57.0,20.0,9.5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,9,3,4,0.42857142857142855,0.5714285714285714,43.0,32.0,14.333333333333334,8.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,10,2,5,0.2857142857142857,0.7142857142857143,25.0,58.0,12.5,11.6,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,11,3,4,0.42857142857142855,0.5714285714285714,50.0,40.0,16.666666666666668,10.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,12,3,4,0.42857142857142855,0.5714285714285714,45.0,40.0,15.0,10.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,13,2,5,0.2857142857142857,0.7142857142857143,35.0,61.0,17.5,12.2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,14,3,4,0.42857142857142855,0.5714285714285714,45.0,42.0,15.0,10.5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,15,2,5,0.2857142857142857,0.7142857142857143,20.0,60.0,10.0,12.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,16,3,4,0.42857142857142855,0.5714285714285714,58.0,37.0,19.333333333333332,9.25,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,17,3,4,0.42857142857142855,0.5714285714285714,38.0,42.0,12.666666666666666,10.5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,18,3,4,0.42857142857142855,0.5714285714285714,58.0,37.0,19.333333333333332,9.25,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,19,2,5,0.2857142857142857,0.7142857142857143,30.0,57.0,15.0,11.4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,20,2,5,0.2857142857142857,0.7142857142857143,35.0,52.0,17.5,10.4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,21,3,4,0.42857142857142855,0.5714285714285714,40.0,37.0,13.333333333333334,9.25,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,22,2,5,0.2857142857142857,0.7142857142857143,30.0,55.0,15.0,11.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,23,3,4,0.42857142857142855,0.5714285714285714,45.0,37.0,15.0,9.25,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,24,2,5,0.2857142857142857,0.7142857142857143,35.0,52.0,17.5,10.4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,25,2,5,0.2857142857142857,0.7142857142857143,28.0,47.0,14.0,9.4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,26,3,4,0.42857142857142855,0.5714285714285714,50.0,27.0,16.666666666666668,6.75,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,27,4,3,0.5714285714285714,0.42857142857142855,65.0,17.0,16.25,5.666666666666667,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,28,4,3,0.5714285714285714,0.42857142857142855,44.0,26.0,11.0,8.666666666666666,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,29,4,3,0.5714285714285714,0.42857142857142855,68.0,17.0,17.0,5.666666666666667,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239.json,simulation_llama3.1_8b_Full_Mixed_LLM5_Random0_Greedy2_scnabstract_sh0_ldf0_seed1_7agents_30rounds_20260604_013239,abstract,Full_Mixed_LLM5_Random0_Greedy2,1,7,30,30,4,3,0.5714285714285714,0.42857142857142855,58.0,17.0,14.5,5.666666666666667,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
